MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,44,2014-10-26,NA,NA,1,NA,NA,8,NA,1,5,3,NA,NA,NA,NA,NA,1,3,NA,NA,2,NA,3,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,5,13,NA,2,NA,NA,NA,2,NA
2014,45,2014-11-02,NA,1,6,1,NA,6,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,3,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,4,13,NA,NA,1,NA,NA,NA,NA
2014,46,2014-11-09,2,2,6,NA,NA,8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,3,24,NA,3,NA,NA,NA,4,NA
2014,47,2014-11-16,1,NA,3,2,NA,6,NA,NA,9,5,NA,NA,NA,NA,NA,NA,1,NA,1,9,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,6,23,NA,2,NA,NA,NA,3,NA
2014,48,2014-11-23,2,3,3,2,NA,4,NA,1,10,NA,NA,NA,NA,NA,NA,NA,2,NA,2,8,NA,1,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,1,NA
2014,49,2014-11-30,1,NA,18,3,NA,13,NA,NA,15,6,1,NA,NA,NA,NA,4,NA,NA,2,12,NA,4,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,12,26,NA,1,NA,NA,NA,NA,NA
2014,50,2014-12-07,NA,2,13,NA,NA,NA,NA,NA,16,6,NA,NA,NA,NA,NA,NA,NA,5,2,10,1,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,40,NA,1,NA,NA,NA,3,NA
2014,51,2014-12-14,3,NA,2,3,NA,17,NA,NA,11,6,NA,NA,NA,NA,NA,NA,NA,4,1,7,1,2,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,21,27,NA,NA,NA,NA,NA,NA,NA
2014,52,2014-12-21,NA,NA,8,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,4,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,4,NA
2014,53,2014-12-28,4,2,14,4,NA,NA,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,9,5,9,10,3,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,14,22,NA,2,NA,NA,NA,8,NA
