MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,48,2014-11-23,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,49,2014-11-30,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,50,2014-12-07,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,51,2014-12-14,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,52,2014-12-21,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,53,2014-12-28,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2015,1,2015-01-04,4850858,737979,6802262,2975626,39032444,5440445,3593862,944107,20268567,10199533,1426320,1649324,12862051,6610596,3118473,2905789,4422057,4671211,1327787,6000561,6794002,9918170,5483238,2985297,6072640,1028317,1893564,2883057,1330134,8960001,2082264,19819347,10041769,754859,11606027,3904353,4016537,12791124,1055916,4892423,854036,6590726,27454880,2984917,624455,8366767,7152818,1839767,5759744,586102
2015,2,2015-01-11,4850858,737979,6802262,2975626,39032444,5440445,3593862,944107,20268567,10199533,1426320,1649324,12862051,6610596,3118473,2905789,4422057,4671211,1327787,6000561,6794002,9918170,5483238,2985297,6072640,1028317,1893564,2883057,1330134,8960001,2082264,19819347,10041769,754859,11606027,3904353,4016537,12791124,1055916,4892423,854036,6590726,27454880,2984917,624455,8366767,7152818,1839767,5759744,586102
2015,3,2015-01-18,4850858,737979,6802262,2975626,39032444,5440445,3593862,944107,20268567,10199533,1426320,1649324,12862051,6610596,3118473,2905789,4422057,4671211,1327787,6000561,6794002,9918170,5483238,2985297,6072640,1028317,1893564,2883057,1330134,8960001,2082264,19819347,10041769,754859,11606027,3904353,4016537,12791124,1055916,4892423,854036,6590726,27454880,2984917,624455,8366767,7152818,1839767,5759744,586102
2015,4,2015-01-25,4850858,737979,6802262,2975626,39032444,5440445,3593862,944107,20268567,10199533,1426320,1649324,12862051,6610596,3118473,2905789,4422057,4671211,1327787,6000561,6794002,9918170,5483238,2985297,6072640,1028317,1893564,2883057,1330134,8960001,2082264,19819347,10041769,754859,11606027,3904353,4016537,12791124,1055916,4892423,854036,6590726,27454880,2984917,624455,8366767,7152818,1839767,5759744,586102
